id,category,description,image,location,mail,name,phone,url
1,Library,"Library Zitouna is a public library located in the heart of the city. It offers a vast collection of books, magazines, and other materials on a wide range of topics for people of all ages. With its tranquil atmosphere, comfortable seating, and modern amenities, the library provides a perfect spot for reading, studying, and research. It also runs various educational programs and events to promote literacy and provide access to information for the local community.",https://cdn.discordapp.com/attachments/953060662463049808/1099367149933445233/placeholder1.png,https://goo.gl/maps/Bd1dJBWJcpsTgA2WA,null,Library Zitouna,null,null
2,Library,"Library Rissala is a public library dedicated to providing access to a wide range of books, audiovisual materials, and other resources to support learning, research, and recreational activities. It offers a welcoming and inclusive environment where patrons can explore and discover new ideas, perspectives, and cultures. The library has a knowledgeable staff who are committed to helping patrons find the resources they need and navigate the library's services and programs.",https://cdn.discordapp.com/attachments/953060662463049808/1099367149933445233/placeholder1.png,https://goo.gl/maps/iesEjAEdBNN5Wbam8,null,Library Rissala,0661668 602,null
3,Library,"Médiathèque OCP Khouribga is a public library located in the city of Khouribga, Morocco, that offers a variety of media resources and services to the community including books, movies, magazines, and computer access.",https://lh5.googleusercontent.com/p/AF1QipNv3nZxnlH8TMjCxTblr7NiJ7ndKrHAvhZ8buII,https://goo.gl/maps/8ojeLTT4nvCakadd6,null,Médiathèque OCP Khouribga,0523493 151,https://www.facebook.com/MediathequedeKhouribga/?locale=fr_FR
4,Library,"Médiathèque Ibn Khaldoun is a library and media center located in Tunis, Tunisia. It offers a broad range of resources, including books, videos, newspapers, and magazines, on a variety of topics. The facility also provides access to computers and the internet, as well as services such as printing, photocopying, and scanning. The center is named after the 14th-century Muslim scholar and historian Ibn Khaldoun, and aims to promote knowledge and intellectual curiosity among its patrons.",https://lh5.googleusercontent.com/p/AF1QipOiySoeldDGyAg2mI2g1msnJNLBiOLx2-iJfPl9,https://goo.gl/maps/yx3MTLFt4SNZr7Jb9,null,Médiathèque Ibn Khaldoun,0638453 529,null
5,Library,"Library Nour is a modern public library that offers a variety of resources and services for the local community. With its extensive collection of books, digital media, and educational materials, Library Nour is the go-to spot for anyone seeking knowledge and entertainment. It also provides a range of programs, workshops, and events for people of all ages, making it a community hub for learning, creativity, and social engagement.",https://lh5.googleusercontent.com/p/AF1QipOW8-Avr-nQIXmYsY8ZgU_f5PI5VGSZ--8oxZPD,https://goo.gl/maps/cSMMLfzx6TaED5Zz6,null,Library Nour,0699306 080,null
6,Library,"Library Al-Ihssani is a community resource that provides access to a wide range of books, periodicals, and other materials. It aims to support lifelong learning and promote literacy by offering space for research, study, and reflection. Its collection covers a wide range of topics, from science and technology to literature and the arts. Visitors can benefit from the assistance provided by knowledgeable librarians and take advantage of a range of events and activities, including workshops, lectures, and book clubs. Library Al-Ihssani is a vibrant community hub that fosters learning, discovery, and growth.",https://cdn.discordapp.com/attachments/953060662463049808/1099367149933445233/placeholder1.png,https://goo.gl/maps/4MhBNy5cKD6fWssW9,null,Library Al-Ihssani,null,null
7,Institution,"Together Center is a nonprofit center in Redmond, Washington that provides a variety of health and human services to the local community. Their mission is to help people in need by providing access to resources and support services in a convenient and centralized location.",https://cdn.discordapp.com/attachments/953060662463049808/1099367149933445233/placeholder1.png,https://goo.gl/maps/xZaVyM757A94Adxv5,null,Together Center,0668054 818,https://www.facebook.com/togethercenter.ma/
8,Institution,"Elite Academy is a premier educational institution that offers comprehensive academic programs and rigorous training to equip students with the knowledge and skills needed to succeed in their chosen fields. The academy provides a supportive and challenging learning environment that fosters personal growth, academic excellence, and professional development. With experienced faculty, modern facilities, and innovative curriculum, Elite Academy is committed to shaping the leaders of tomorrow.",https://lh5.googleusercontent.com/p/AF1QipNpmrQj9Y7Ax-9Xfmxmn0zYLXS_AXcTlgpi7LXp,https://goo.gl/maps/VZCWCr2G3naAhc869,null,Elite Academy,0657086 075,null
9,Institution,"English Time Academy is an online platform that offers high-quality English language courses to students from all around the world. Their courses are designed to help learners improve their English language skills in a supportive and engaging environment, with experienced teachers who are committed to helping their students succeed. Whether you're looking to improve your conversational skills, prepare for an exam, or advance your career, English Time Academy has a course that's right for you.",https://lh5.googleusercontent.com/p/AF1QipNihZmoImPYcWgvFFg0P5CrwpVMEdoRBf7N6maM,https://goo.gl/maps/ZyXKeS7YyNeaRGaT6,null,English Time Academy,0632278 580,https://englishtimeacademy.business.site/
10,Institution,"Centre Shahrazad is an organization dedicated to empowering women and promoting gender equality through education, advocacy, and community engagement. Their mission is to create a safe and supportive environment for women to thrive, and to work towards a more inclusive and equitable society for all.",https://cdn.discordapp.com/attachments/953060662463049808/1099367149933445233/placeholder1.png,https://goo.gl/maps/y5vqyaHk9yNyjWmS8,null,Centre Shahrazad,0696663 904,null
11,Institution,"Harvard School Khouribga is a renowned educational institution located in Khouribga, Morocco, offering a wide range of academic programs to prepare students for successful careers in various fields. The school is known for its strong emphasis on academic excellence, as well as its commitment to fostering a dynamic and inclusive learning environment that encourages innovation and creative thinking. With highly qualified faculty, state-of-the-art facilities, and a diverse student body, Harvard School Khouribga is a premier destination for students seeking a world-class education.",https://lh5.googleusercontent.com/p/AF1QipOzYyEpIYKWnqKGNSPdKPb7Mks9_PCDl6C3LzvK,https://goo.gl/maps/wrMZZx5nbLZoFFn8A,null,Harvard school khouribga,0614065 386,null
12,Institution,"Aero School Khouribga is a top-rated aviation training institution located in Khouribga, Morocco. The school offers a range of aviation courses, including pilot training, aircraft maintenance, and air traffic control, to equip students with the skills they need to succeed in the aviation industry. With state-of-the-art facilities, experienced instructors, and a focus on hands-on learning, Aero School Khouribga is a great choice for anyone looking to pursue a career in the exciting and dynamic world of aviation.",https://lh5.googleusercontent.com/p/AF1QipOsChHp0sAG5Yx1jwmIbS0rd7r25G1ZhNM-tZSB,https://goo.gl/maps/U9hL8NuARmXSbn3t7,null,Aero School Khouribga,0523563 936,http://www.aeroschoolkhouribga.ma/
13,School,"Centre Smart_school is a modern educational institution that focuses on providing quality education to its students through innovative teaching methods and technology-driven resources. It offers a wide range of courses and programs for students of different ages, interests, and skill levels. The school strives to create an inclusive and stimulating learning environment that encourages students to grow academically, socially, and emotionally. Its dedicated faculty and staff are committed to helping students achieve their full potential and prepare them for success in the rapidly-changing world.",https://lh5.googleusercontent.com/p/AF1QipOtMmhZ6FoedyEqDGPijSmPTwXNPNdN6vL-dDzP,https://goo.gl/maps/jSjC5MUTDVtYBcM77,null,Centre Smart_school,0619919 812,https://www.facebook.com/smartschool.ait
14,School,"Sanabil Iqraa is a school group that provides quality education to students in a nurturing and engaging learning environment. The group is dedicated to helping students reach their academic potential while also emphasizing values such as respect, responsibility, and empathy. With a focus on holistic development, Sanabil Iqraa strives to prepare students for success in all areas of their lives.",https://lh5.googleusercontent.com/p/AF1QipMt2UiFlRuQ6eWFlW6nQH0DjKjHai0Nxd_-Ksll,https://goo.gl/maps/vTk1Fv3M96duYFsbA,null,School Group Sanabil Iqraa,0523492 253,null
15,School,"School Group Oussama Bnou Zaid is a leading educational institution that offers high-quality academic programs for students of all ages. Located in Morocco, the group is committed to providing a safe and welcoming environment where students can learn, grow, and thrive. With a team of passionate educators and state-of-the-art facilities, School Group Oussama Bnou Zaid is dedicated to helping students achieve their full potential and become successful global citizens.",https://lh5.googleusercontent.com/p/AF1QipPJ7eBWmhSRrOfTF7WHW4IVYGfh3ewqTxCloXFq,https://goo.gl/maps/xEJhmzjweKRdPqAo9,null,School Group Oussama Bnou Zaid,0523493 205,null
16,School,School Baraim Ennour is a educational institution that provides quality education to its students. It focuses on fostering a positive and inclusive learning environment that promotes academic excellence and personal growth.,https://lh5.googleusercontent.com/p/AF1QipMqgARzZ_z_LJs07QCG6vYABp9MYld7jj73x1_h,https://goo.gl/maps/Vd2uHGuscgm7XYGu8,null,School Baraim Ennour,0668256 046,null
